SrNo,Name,Role,Country,Base Price (Cr),Status,Sold Price,Sold To,Image,Is Overseas
1,"MS Dhoni",Wicket Keeper,India,0.2,SOLD,0.2,MI,https://documents.iplt20.com/ipl/IPLHeadshot2025/57.png,No
2,"Sanju Samson",Wicket Keeper,India,0.2,UNSOLD,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
3,"Ruturaj Gaikwad",Batsman,India,0.2,SOLD,0.2,MI,https://documents.iplt20.com/ipl/IPLHeadshot2025/102.png,No
4,"Dewald Brevis",Batsman,Overseas,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/797.png,Yes
5,"Ayush Mhatre",Batsman,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3497.png,No
6,"Kartik Sharma",Wicket Keeper,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
7,"Sarfaraz Khan",Batsman,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
8,"Urvil Patel",Wicket Keeper,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1486.png,No
9,"Anshul Kamboj",All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3106.png,No
10,"Jamie Overton",All-Rounder,Overseas,1.5,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1216.png,Yes
11,"Ramakrishna Ghosh",All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3559.png,No
12,"Prashant Veer",All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
13,"Matthew William Short",All-Rounder,Overseas,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes
14,"Aman Khan",All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
15,"Zak Foulkes",All-Rounder,New Zealand,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes
16,"Shivam Dube",All-Rounder,India,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/211.png,No
17,"Khaleel Ahmed",Bowler,India,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/8.png,No
18,"Noor Ahmad",Bowler,Overseas,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/975.png,Yes
19,"Mukesh Choudhary",Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/970.png,No
20,"Nathan Ellis",Bowler,Overseas,1.25,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/633.png,Yes
21,"Shreyas Gopal",Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/192.png,No
22,"Gurjapneet Singh",Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/2256.png,No
23,"Akeal Hosein",Bowler,West Indies,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes
24,"Matt Henry",Bowler,New Zealand,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes
25,"Rahul Chahar",Bowler,India,1,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
26,"KL Rahul",Wicket Keeper,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/19.png,No
27,"Karun Nair",Batsman,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/131.png,No
28,"David Miller",Batsman,South Africa,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes
29,"Ben Duckett",Wicket Keeper,England,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes
30,"Pathum Nissanka",Batsman,Sri Lanka,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes
31,"Sahil Parakh",Batsman,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
32,"Prithvi Shaw",Batsman,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2024/51.png,No
33,"Abishek Porel",Wicket Keeper,India,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1580.png,No
34,"Tristan Stubbs",Wicket Keeper,Overseas,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1017.png,Yes
35,"Axar Patel",All-Rounder,India,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/110.png,No
36,"Sameer Rizvi",All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1229.png,No
37,"Ashutosh Sharma",All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3109.png,No
38,"Vipraj Nigam",All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3560.png,No
39,"Ajay Mandal",All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1931.png,No
40,"Tripurana Vijay",All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3563.png,No
41,"Madhav Tiwari",All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3561.png,No
42,"Auqib Dar",All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
43,"Nitish Rana",All-Rounder,India,1.5,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
44,"Mitchell Starc",Bowler,Overseas,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/31.png,Yes
45,"T. Natarajan",Bowler,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/224.png,No
46,"Mukesh Kumar",Bowler,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1462.png,No
47,"Dushmantha Chameera",Bowler,Overseas,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/608.png,Yes
48,"Lungisani Ngidi",Bowler,South Africa,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2023/99.png,Yes
49,"Kyle Jamieson",Bowler,New Zealand,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes
50,"Kuldeep Yadav",Bowler,India,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/14.png,No
51,"Shubman Gill",Batsman,India,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/62.png,No
52,"Jos Buttler",Wicket Keeper,Overseas,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/182.png,Yes
53,"Kumar Kushagra",Wicket Keeper,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3101.png,No
54,"Anuj Rawat",Wicket Keeper,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/534.png,No
55,"Tom Banton",Wicket Keeper,England,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes
56,"Glenn Phillips",Batsman,Overseas,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/635.png,Yes
57,"Nishant Sindhu",All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/791.png,No
58,"Washington Sundar",All-Rounder,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/20.png,No
59,"Mohd. Arshad Khan",All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/988.png,No
60,"Sai Kishore",All-Rounder,India,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/544.png,No
61,"Jayant Yadav",All-Rounder,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/165.png,No
62,"Jason Holder",All-Rounder,West Indies,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes
63,"Sai Sudharsan",All-Rounder,India,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/976.png,No
64,"Shahrukh Khan",All-Rounder,India,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/590.png,No
65,"Kagiso Rabada",Bowler,Overseas,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/116.png,Yes
66,"Mohammed Siraj",Bowler,India,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/63.png,No
67,"Prasidh Krishna",Bowler,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/150.png,No
68,"Manav Suthar",Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/2443.png,No
69,"Gurnoor Singh Brar",Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1231.png,No
70,"Ishant Sharma",Bowler,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/50.png,No
71,"Ashok Sharma",Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
72,"Prithvi Raj Yarra",Bowler,India,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
73,"Luke Wood",Bowler,England,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes
74,"Rahul Tewatia",Bowler,India,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/120.png,No
75,"Rashid Khan",Bowler,Overseas,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/218.png,Yes
76,"Ajinkya Rahane",Batsman,India,1.5,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/44.png,No
77,"Rinku Singh",Batsman,India,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/152.png,No
78,"Angkrish Raghuvanshi",Batsman,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/787.png,No
79,"Manish Pandey",Batsman,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/16.png,No
80,"Cameron Green",Batsman,Australia,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes
81,"Finn Allen",Wicket Keeper,New Zealand,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes
82,"Tejasvi Singh",Wicket Keeper,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
83,"Rahul Tripathi",Batsman,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
84,"Tim Seifert",Wicket Keeper,New Zealand,1.5,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes
85,"Rovman Powell",Batsman,Overseas,1.5,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/329.png,Yes
86,"Anukul Roy",All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/160.png,No
87,"Sarthak Ranjan",All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
88,"Daksh Kamra",All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
89,"Rachin Ravindra",All-Rounder,New Zealand,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes
90,"Ramandeep Singh",All-Rounder,India,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/991.png,No
91,"Vaibhav Arora",Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/583.png,No
92,"Matheesha Pathirana",Bowler,Sri Lanka,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes
93,"Kartik Tyagi",Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
94,"Prashant Solanki",Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
95,"Mustafizur Rahman",Bowler,Bangladesh,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes
96,"Akash Deep",Bowler,India,1,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
97,"Harshit Rana",Bowler,India,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1013.png,No
98,"Umran Malik",Bowler,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
99,"Sunil Narine",Bowler,Overseas,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/156.png,Yes
100,"Varun Chakaravarthy",Bowler,India,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/140.png,No
101,"Rishabh Pant",Wicket Keeper,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/18.png,No
102,"Aiden Markram",Batsman,Overseas,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/287.png,Yes
103,"Himmat Singh",Batsman,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/203.png,No
104,"Matthew Breetzke",Batsman,Overseas,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/2805.png,Yes
105,"Mukul Choudhary",Wicket Keeper,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
106,"Akshat Raghuwanshi",Batsman,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
107,"Josh Inglis",Wicket Keeper,Australia,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes
108,"Nicholas Pooran",Wicket Keeper,Overseas,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/136.png,Yes
109,"Mitchell Marsh",All-Rounder,Overseas,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/40.png,Yes
110,"Abdul Samad",All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/525.png,No
111,"Shahbaz Ahamad",All-Rounder,India,1,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/523.png,No
112,"Arshin Kulkarni",All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/2788.png,No
113,"Wanindu Hasaranga",All-Rounder,Sri Lanka,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes
114,"Ayush Badoni",All-Rounder,India,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/985.png,No
115,"Mohammad Shami",Bowler,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
116,"Avesh Khan",Bowler,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/109.png,No
117,"M. Siddharth",Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/532.png,No
118,"Digvesh Singh",Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3565.png,No
119,"Akash Singh",Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/535.png,No
120,"Prince Yadav",Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1225.png,No
121,"Arjun Tendulkar",Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
122,"Anrich Nortje",Bowler,South Africa,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes
123,"Naman Tiwari",Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
124,"Mayank Yadav",Bowler,India,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2024/987.png,No
125,"Mohsin Khan",Bowler,India,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2024/541.png,No
