SrNo,Name,Country,Role,BasePrice,IsOverseas,Status,SoldPrice,SoldToTeam,BattingPositionGroup,Set
1,MS Dhoni,India,Wicket Keeper,2,No,AVAILABLE,,,,0
2,Sanju Samson,India,Wicket Keeper,2,No,AVAILABLE,,,,4
3,Ruturaj Gaikwad,India,Batsman,1,No,AVAILABLE,,,,1
4,Dewald Brevis,Overseas,Batsman,0.75,Yes,AVAILABLE,,,,1
5,Ayush Mhatre,India,Batsman,0.3,No,AVAILABLE,,,,1
6,Kartik Sharma,India,Wicket Keeper,0.3,No,AVAILABLE,,,,9
7,Sarfaraz Khan,India,Batsman,0.75,No,AVAILABLE,,,,1
8,Urvil Patel,India,Wicket Keeper,0.3,No,AVAILABLE,,,,9
9,Anshul Kamboj,India,Bowler,0.3,No,AVAILABLE,,,,7
10,Jamie Overton,Overseas,All-Rounder,1,Yes,AVAILABLE,,,,4
11,Ramakrishna Ghosh,India,All-Rounder,0.3,No,AVAILABLE,,,,10
12,Prashant Veer,India,All-Rounder,0.3,No,AVAILABLE,,,,10
13,Matthew William Short,Overseas,All-Rounder,0.3,Yes,AVAILABLE,,,,5
14,Aman Khan,India,All-Rounder,0.3,No,AVAILABLE,,,,10
15,Zak Foulkes,New Zealand,All-Rounder,0.3,Yes,AVAILABLE,,,,5
16,Shivam Dube,India,All-Rounder,2,No,AVAILABLE,,,,5
17,Khaleel Ahmed,India,Bowler,1,No,AVAILABLE,,,,2
18,Noor Ahmad,Overseas,Bowler,2,Yes,AVAILABLE,,,,3
19,Mukesh Choudhary,India,Bowler,0.3,No,AVAILABLE,,,,7
20,Nathan Ellis,Overseas,Bowler,1.25,Yes,AVAILABLE,,,,2
21,Shreyas Gopal,India,Bowler,0.3,No,AVAILABLE,,,,3
22,Gurjapneet Singh,India,Bowler,0.3,No,AVAILABLE,,,,7
23,Akeal Hosein,West Indies,Bowler,2,Yes,AVAILABLE,,,,3
24,Matt Henry,New Zealand,Bowler,2,Yes,AVAILABLE,,,,2
25,Rahul Chahar,India,Bowler,1,No,AVAILABLE,,,,3
26,KL Rahul,India,Wicket Keeper,2,No,AVAILABLE,,,,4
27,Karun Nair,India,Batsman,0.75,No,AVAILABLE,,,,1
28,David Miller,South Africa,Batsman,2,Yes,AVAILABLE,,,,1
29,Ben Duckett,England,Wicket Keeper,2,Yes,AVAILABLE,,,,4
30,Pathum Nissanka,Sri Lanka,Batsman,0.75,Yes,AVAILABLE,,,,1
31,Sahil Parakh,India,Batsman,0.3,No,AVAILABLE,,,,6
32,Prithvi Shaw,India,Batsman,0.75,No,AVAILABLE,,,,1
33,Abishek Porel,India,Wicket Keeper,0.75,No,AVAILABLE,,,,9
34,Tristan Stubbs,Overseas,Wicket Keeper,1.5,Yes,AVAILABLE,,,,4
35,Axar Patel,India,All-Rounder,2,No,AVAILABLE,,,,5
36,Sameer Rizvi,India,All-Rounder,0.75,No,AVAILABLE,,,,10
37,Ashutosh Sharma,India,All-Rounder,1,No,AVAILABLE,,,,10
38,Vipraj Nigam,India,All-Rounder,0.75,No,AVAILABLE,,,,10
39,Ajay Mandal,India,All-Rounder,0.3,No,AVAILABLE,,,,10
40,Tripurana Vijay,India,All-Rounder,0.3,No,AVAILABLE,,,,10
41,Madhav Tiwari,India,All-Rounder,0.3,No,AVAILABLE,,,,10
42,Auqib Dar,India,All-Rounder,0.3,No,AVAILABLE,,,,10
43,Nitish Rana,India,All-Rounder,1.5,No,AVAILABLE,,,,5
44,Mitchell Starc,Overseas,Bowler,2,Yes,AVAILABLE,,,,0
45,T. Natarajan,India,Bowler,1,No,AVAILABLE,,,,2
46,Mukesh Kumar,India,Bowler,1,No,AVAILABLE,,,,2
47,Dushmantha Chameera,Overseas,Bowler,0.75,Yes,AVAILABLE,,,,2
48,Lungisani Ngidi,South Africa,Bowler,2,Yes,AVAILABLE,,,,2
49,Kyle Jamieson,New Zealand,Bowler,1,Yes,AVAILABLE,,,,2
50,Kuldeep Yadav,India,Bowler,2,No,AVAILABLE,,,,3
51,Shubman Gill,India,Batsman,2,No,AVAILABLE,,,,1
52,Jos Buttler,Overseas,Wicket Keeper,2,Yes,AVAILABLE,,,,0
53,Kumar Kushagra,India,Wicket Keeper,0.3,No,AVAILABLE,,,,9
54,Anuj Rawat,India,Wicket Keeper,0.3,No,AVAILABLE,,,,9
55,Tom Banton,England,Wicket Keeper,1,Yes,AVAILABLE,,,,4
56,Glenn Phillips,Overseas,All-Rounder,1.5,Yes,AVAILABLE,,,,5
57,Nishant Sindhu,India,All-Rounder,0.3,No,AVAILABLE,,,,10
58,Washington Sundar,India,All-Rounder,2,No,AVAILABLE,,,,5
59,Mohd. Arshad Khan,India,All-Rounder,0.3,No,AVAILABLE,,,,10
60,Sai Kishore,India,All-Rounder,0.75,No,AVAILABLE,,,,10
61,Jayant Yadav,India,All-Rounder,0.3,No,AVAILABLE,,,,10
62,Jason Holder,West Indies,All-Rounder,1.25,Yes,AVAILABLE,,,,5
63,Sai Sudharsan,India,Batsman,1.5,No,AVAILABLE,,,,1
64,Shahrukh Khan,India,All-Rounder,0.75,No,AVAILABLE,,,,10
65,Kagiso Rabada,Overseas,Bowler,2,Yes,AVAILABLE,,,,2
66,Mohammed Siraj,India,Bowler,2,No,AVAILABLE,,,,2
67,Prasidh Krishna,India,Bowler,1.25,No,AVAILABLE,,,,2
68,Manav Suthar,India,Bowler,0.3,No,AVAILABLE,,,,8
69,Gurnoor Singh Brar,India,Bowler,0.3,No,AVAILABLE,,,,7
70,Ishant Sharma,India,Bowler,0.75,No,AVAILABLE,,,,2
71,Ashok Sharma,India,Bowler,0.3,No,AVAILABLE,,,,7
72,Prithvi Raj Yarra,India,Bowler,0.3,No,AVAILABLE,,,,7
73,Luke Wood,England,Bowler,0.3,Yes,AVAILABLE,,,,2
74,Rahul Tewatia,India,All-Rounder,0.75,No,AVAILABLE,,,,10
75,Rashid Khan,Overseas,Bowler,2,Yes,AVAILABLE,,,,3
76,Ajinkya Rahane,India,Batsman,1.5,No,AVAILABLE,,,,1
77,Rinku Singh,India,Batsman,1.25,No,AVAILABLE,,,,1
78,Angkrish Raghuvanshi,India,Batsman,0.75,No,AVAILABLE,,,,6
79,Manish Pandey,India,Batsman,0.75,No,AVAILABLE,,,,0
80,Cameron Green,Australia,All-Rounder,2,Yes,AVAILABLE,,,,5
81,Finn Allen,New Zealand,Wicket Keeper,1.5,Yes,AVAILABLE,,,,4
82,Tejasvi Singh,India,Wicket Keeper,0.3,No,AVAILABLE,,,,9
83,Rahul Tripathi,India,Batsman,0.75,No,AVAILABLE,,,,1
84,Tim Seifert,New Zealand,Wicket Keeper,1.5,Yes,AVAILABLE,,,,5
85,Rovman Powell,Overseas,Batsman,1.5,Yes,AVAILABLE,,,,1
86,Anukul Roy,India,All-Rounder,0.3,No,AVAILABLE,,,,10
87,Sarthak Ranjan,India,All-Rounder,0.3,No,AVAILABLE,,,,10
88,Daksh Kamra,India,All-Rounder,0.3,No,AVAILABLE,,,,10
89,Rachin Ravindra,New Zealand,All-Rounder,2,Yes,AVAILABLE,,,,5
90,Ramandeep Singh,India,All-Rounder,0.75,No,AVAILABLE,,,,5
91,Vaibhav Arora,India,Bowler,0.3,No,AVAILABLE,,,,2
92,Matheesha Pathirana,Sri Lanka,Bowler,2,Yes,AVAILABLE,,,,2
93,Kartik Tyagi,India,Bowler,0.75,No,AVAILABLE,,,,7
94,Prashant Solanki,India,Bowler,0.3,No,AVAILABLE,,,,8
95,Mustafizur Rahman,Bangladesh,Bowler,1,Yes,AVAILABLE,,,,2
96,Akash Deep,India,Bowler,1,No,AVAILABLE,,,,2
97,Harshit Rana,India,Bowler,0.75,No,AVAILABLE,,,,2
98,Umran Malik,India,Bowler,0.75,No,AVAILABLE,,,,2
99,Sunil Narine,Overseas,Bowler,2,Yes,AVAILABLE,,,,3
100,Varun Chakaravarthy,India,Bowler,2,No,AVAILABLE,,,,3
101,Rishabh Pant,India,Wicket Keeper,2,No,AVAILABLE,,,,4
102,Aiden Markram,Overseas,Batsman,2,Yes,AVAILABLE,,,,1
103,Himmat Singh,India,Batsman,0.3,No,AVAILABLE,,,,6
104,Matthew Breetzke,Overseas,Batsman,0.75,Yes,AVAILABLE,,,,1
105,Mukul Choudhary,India,Wicket Keeper,0.3,No,AVAILABLE,,,,9
106,Akshat Raghuwanshi,India,Batsman,0.3,No,AVAILABLE,,,,6
107,Josh Inglis,Australia,Wicket Keeper,2,Yes,AVAILABLE,,,,4
108,Nicholas Pooran,Overseas,Wicket Keeper,2,Yes,AVAILABLE,,,,4
109,Mitchell Marsh,Overseas,All-Rounder,2,Yes,AVAILABLE,,,,5
110,Abdul Samad,India,All-Rounder,0.3,No,AVAILABLE,,,,10
111,Shahbaz Ahamad,India,All-Rounder,0.75,No,AVAILABLE,,,,5
112,Arshin Kulkarni,India,All-Rounder,0.3,No,AVAILABLE,,,,10
113,Wanindu Hasaranga,Sri Lanka,All-Rounder,2,Yes,AVAILABLE,,,,5
114,Ayush Badoni,India,All-Rounder,0.75,No,AVAILABLE,,,,10
115,Mohammad Shami,India,Bowler,2,No,AVAILABLE,,,,2
116,Avesh Khan,India,Bowler,1,No,AVAILABLE,,,,2
117,M. Siddharth,India,Bowler,0.3,No,AVAILABLE,,,,8
118,Digvesh Singh,India,Bowler,0.75,No,AVAILABLE,,,,8
119,Akash Singh,India,Bowler,0.3,No,AVAILABLE,,,,7
120,Prince Yadav,India,Bowler,0.3,No,AVAILABLE,,,,7
121,Arjun Tendulkar,India,Bowler,0.3,No,AVAILABLE,,,,7
122,Anrich Nortje,South Africa,Bowler,2,Yes,AVAILABLE,,,,2
123,Naman Tiwari,India,Bowler,0.3,No,AVAILABLE,,,,7
124,Mayank Yadav,India,Bowler,0.75,No,AVAILABLE,,,,7
125,Mohsin Khan,India,Bowler,0.3,No,AVAILABLE,,,,7
126,Rohit Sharma,India,Batsman,2,No,AVAILABLE,,,,0
127,Surya Kumar Yadav,India,Batsman,2,No,AVAILABLE,,,,1
128,Robin Minz,India,Wicket Keeper,0.3,No,AVAILABLE,,,,9
129,Sherfane Rutherford,Overseas,Batsman,1.5,Yes,AVAILABLE,,,,1
130,Ryan Rickelton,Overseas,Wicket Keeper,1,Yes,AVAILABLE,,,,4
131,Quinton de Kock,Overseas,Wicket Keeper,1,Yes,AVAILABLE,,,,0
132,Danish Malewar,India,Batsman,0.3,No,AVAILABLE,,,,6
133,N. Tilak Varma,India,Batsman,1,No,AVAILABLE,,,,1
134,Hardik Pandya,India,All-Rounder,2,No,AVAILABLE,,,,0
135,Naman Dhir,India,All-Rounder,0.75,No,AVAILABLE,,,,5
136,Mitchell Santner,Overseas,All-Rounder,2,Yes,AVAILABLE,,,,5
137,Raj Angad Bawa,India,All-Rounder,0.3,No,AVAILABLE,,,,10
138,Atharva Ankolekar,India,All-Rounder,0.3,No,AVAILABLE,,,,10
139,Mayank Rawat,India,All-Rounder,0.3,No,AVAILABLE,,,,10
140,Corbin Bosch,Overseas,All-Rounder,0.75,Yes,AVAILABLE,,,,5
141,Will Jacks,Overseas,All-Rounder,2,Yes,AVAILABLE,,,,5
142,Shardul Thakur,India,All-Rounder,1,No,AVAILABLE,,,,5
143,Trent Boult,Overseas,Bowler,2,Yes,AVAILABLE,,,,2
144,Mayank Markande,India,Bowler,0.3,No,AVAILABLE,,,,8
145,Deepak Chahar,India,Bowler,2,No,AVAILABLE,,,,2
146,Ashwani Kumar,India,Bowler,0.75,No,AVAILABLE,,,,7
147,Raghu Sharma,India,Bowler,0.3,No,AVAILABLE,,,,8
148,Mohammad Izhar,India,Bowler,0.3,No,AVAILABLE,,,,7
149,Allah Ghazanfar,Overseas,Bowler,0.75,Yes,AVAILABLE,,,,3
150,Jasprit Bumrah,India,Bowler,2,No,AVAILABLE,,,,0
151,Shreyas Iyer,India,Batsman,2,No,AVAILABLE,,,,1
152,Nehal Wadhera,India,Batsman,0.75,No,AVAILABLE,,,,6
153,Vishnu Vinod,India,Wicket Keeper,0.3,No,AVAILABLE,,,,9
154,Harnoor Pannu,India,Batsman,0.3,No,AVAILABLE,,,,6
155,Pyla Avinash,India,Batsman,0.3,No,AVAILABLE,,,,6
156,Prabhsimran Singh,India,Wicket Keeper,1,No,AVAILABLE,,,,9
157,Shashank Singh,India,Batsman,1,No,AVAILABLE,,,,6
158,Marcus Stoinis,Overseas,All-Rounder,2,Yes,AVAILABLE,,,,5
159,Harpreet Brar,India,All-Rounder,0.3,No,AVAILABLE,,,,10
160,Marco Jansen,Overseas,All-Rounder,1.25,Yes,AVAILABLE,,,,5
161,Azmatullah Omarzai,Overseas,All-Rounder,1,Yes,AVAILABLE,,,,5
162,Priyansh Arya,India,All-Rounder,0.75,No,AVAILABLE,,,,10
163,Musheer Khan,India,All-Rounder,0.3,No,AVAILABLE,,,,10
164,Suryansh Shedge,India,All-Rounder,0.3,No,AVAILABLE,,,,10
165,Mitch Owen,Overseas,Batsman,1,Yes,AVAILABLE,,,,1
166,Cooper Connolly,Australia,All-Rounder,1,Yes,AVAILABLE,,,,5
167,Ben Dwarshuis,Australia,All-Rounder,0.75,Yes,AVAILABLE,,,,5
168,Arshdeep Singh,India,Bowler,2,No,AVAILABLE,,,,2
169,Yuzvendra Chahal,India,Bowler,2,No,AVAILABLE,,,,0
170,Vyshak Vijaykumar,India,Bowler,0.3,No,AVAILABLE,,,,7
171,Yash Thakur,India,Bowler,0.3,No,AVAILABLE,,,,7
172,Xavier Bartlett,Overseas,Bowler,0.75,Yes,AVAILABLE,,,,2
173,Pravin Dubey,India,Bowler,0.3,No,AVAILABLE,,,,8
174,Vishal Nishad,India,Bowler,0.3,No,AVAILABLE,,,,8
175,Lockie Ferguson,Overseas,Bowler,2,Yes,AVAILABLE,,,,2
176,Shubham Dubey,India,Batsman,0.3,No,AVAILABLE,,,,6
177,Vaibhav Suryavanshi,India,Batsman,0.75,No,AVAILABLE,,,,6
178,Donovan Ferreira,Overseas,Wicket Keeper,0.75,Yes,AVAILABLE,,,,4
179,Lhuan-dre Pretorius,Overseas,Batsman,0.3,Yes,AVAILABLE,,,,6
180,Ravi Singh,India,Wicket Keeper,0.3,No,AVAILABLE,,,,9
181,Aman Rao Perala,India,Batsman,0.3,No,AVAILABLE,,,,6
182,Shimron Hetmyer,Overseas,Batsman,2,Yes,AVAILABLE,,,,1
183,Yashasvi Jaiswal,India,Batsman,2,No,AVAILABLE,,,,1
184,Dhruv Jurel,India,Wicket Keeper,1,No,AVAILABLE,,,,4
185,Riyan Parag,India,Batsman,1.25,No,AVAILABLE,,,,1
186,Yudhvir Singh Charak,India,All-Rounder,0.3,No,AVAILABLE,,,,10
187,Ravindra Jadeja,India,All-Rounder,0.2,No,AVAILABLE,,,,0
188,Sam Curran,Overseas,All-Rounder,2,Yes,AVAILABLE,,,,5
189,Jofra Archer,Overseas,Bowler,2,Yes,AVAILABLE,,,,2
190,Tushar Deshpande,India,Bowler,0.75,No,AVAILABLE,,,,7
191,Kwena Maphaka,Overseas,Bowler,0.75,Yes,AVAILABLE,,,,2
192,Ravi Bishnoi,India,Bowler,2,No,AVAILABLE,,,,3
193,Sushant Mishra,India,Bowler,0.3,No,AVAILABLE,,,,7
194,Yash Raj Punja,India,Bowler,0.3,No,AVAILABLE,,,,8
195,Vignesh Puthur,India,Bowler,0.3,No,AVAILABLE,,,,8
196,Brijesh Sharma,India,Bowler,0.3,No,AVAILABLE,,,,7
197,Adam Milne,New Zealand,Bowler,2,Yes,AVAILABLE,,,,2
198,Kuldeep Sen,India,Bowler,0.75,No,AVAILABLE,,,,7
199,Sandeep Sharma,India,Bowler,0.75,No,AVAILABLE,,,,7
200,Nandre Burger,Overseas,Bowler,1,Yes,AVAILABLE,,,,2
201,Rajat Patidar,India,Batsman,2,No,AVAILABLE,,,,1
202,Devdutt Padikkal,India,Batsman,1.25,No,AVAILABLE,,,,1
203,Virat Kohli,India,Batsman,2,No,AVAILABLE,,,,0
204,Phil Salt,Overseas,Wicket Keeper,2,Yes,AVAILABLE,,,,4
205,Jitesh Sharma,India,Wicket Keeper,1,No,AVAILABLE,,,,4
206,Jordan Cox,England,Wicket Keeper,0.75,Yes,AVAILABLE,,,,4
207,Krunal Pandya,India,All-Rounder,2,No,AVAILABLE,,,,5
208,Swapnil Singh,India,All-Rounder,0.3,No,AVAILABLE,,,,10
209,Tim David,Overseas,All-Rounder,2,Yes,AVAILABLE,,,,5
210,Romario Shepherd,Overseas,All-Rounder,1.5,Yes,AVAILABLE,,,,5
211,Jacob Bethell,Overseas,All-Rounder,0.75,Yes,AVAILABLE,,,,5
212,Venkatesh Iyer,India,All-Rounder,1.5,No,AVAILABLE,,,,5
213,Satvik Deswal,India,All-Rounder,0.3,No,AVAILABLE,,,,10
214,Mangesh Yadav,India,All-Rounder,0.3,No,AVAILABLE,,,,10
215,Vicky Ostwal,India,All-Rounder,0.3,No,AVAILABLE,,,,10
216,Vihaan Malhotra,India,All-Rounder,0.3,No,AVAILABLE,,,,10
217,Kanishk Chouhan,India,All-Rounder,0.3,No,AVAILABLE,,,,10
218,Josh Hazlewood,Overseas,Bowler,2,Yes,AVAILABLE,,,,2
219,Rasikh Dar,India,Bowler,0.3,No,AVAILABLE,,,,7
220,Suyash Sharma,India,Bowler,0.3,No,AVAILABLE,,,,8
221,Bhuvneshwar Kumar,India,Bowler,2,No,AVAILABLE,,,,0
222,Nuwan Thushara,Overseas,Bowler,0.75,Yes,AVAILABLE,,,,7
223,Abhinandan Singh,India,Bowler,0.3,No,AVAILABLE,,,,7
224,Jacob Duffy,New Zealand,Bowler,1,Yes,AVAILABLE,,,,2
225,Yash Dayal,India,Bowler,0.75,No,AVAILABLE,,,,2
226,Ishan Kishan,India,Wicket Keeper,2,No,AVAILABLE,,,,4
227,Aniket Verma,India,Batsman,0.3,No,AVAILABLE,,,,6
228,Smaran Ravichandran,India,Batsman,0.3,No,AVAILABLE,,,,6
229,Salil Arora,India,Wicket Keeper,0.3,No,AVAILABLE,,,,9
230,Heinrich Klaasen,Overseas,Wicket Keeper,2,Yes,AVAILABLE,,,,4
231,Travis Head,Overseas,Batsman,2,Yes,AVAILABLE,,,,1
232,Harshal Patel,India,All-Rounder,1,No,AVAILABLE,,,,5
233,Kamindu Mendis,Overseas,All-Rounder,0.75,Yes,AVAILABLE,,,,5
234,Harsh Dubey,India,All-Rounder,0.3,No,AVAILABLE,,,,10
235,Brydon Carse,Overseas,All-Rounder,0.75,Yes,AVAILABLE,,,,5
236,Shivang Kumar,India,All-Rounder,0.3,No,AVAILABLE,,,,10
237,Krains Fuletra,India,All-Rounder,0.3,No,AVAILABLE,,,,10
238,Liam Livingstone,England,All-Rounder,1,Yes,AVAILABLE,,,,5
239,Jack Edwards,Australia,All-Rounder,0.3,Yes,AVAILABLE,,,,10
240,Abhishek Sharma,India,All-Rounder,2,No,AVAILABLE,,,,5
241,Nitish Kumar Reddy,India,All-Rounder,1.5,No,AVAILABLE,,,,5
242,Pat Cummins,Overseas,Bowler,2,Yes,AVAILABLE,,,,0
243,Zeeshan Ansari,India,Bowler,0.3,No,AVAILABLE,,,,8
244,Jaydev Unadkat,India,Bowler,0.75,No,AVAILABLE,,,,2
245,Eshan Malinga,Overseas,Bowler,0.3,Yes,AVAILABLE,,,,2
246,Sakib Hussain,India,Bowler,0.3,No,AVAILABLE,,,,7
247,Onkar Tarmale,India,Bowler,0.3,No,AVAILABLE,,,,7
248,Amit Kumar,India,Bowler,0.3,No,AVAILABLE,,,,8
249,Praful Hinge,India,Bowler,0.3,No,AVAILABLE,,,,7
250,Shivam Mavi,India,Bowler,0.75,No,AVAILABLE,,,,2
